Rank,Term,Frequency,Type
2751,monotonic,13,word
2752,issuance,13,word
2753,drilling,13,word
2754,proposal,13,word
2755,exam,13,word
2756,elastic,13,word
2757,examining,13,word
2758,insure,13,word
2759,repression,13,word
2760,actor,13,word
2761,constructing,13,word
2762,framing,13,word
2763,canada,13,word
2764,uninsurable,13,word
2765,appropriate,13,word
2766,capability,13,word
2767,stagnation,13,word
2768,adding,13,word
2769,trajectory,13,word
2770,scanner,13,word
2771,hispanic,13,word
2772,daily,13,word
2773,aging,13,word
2774,serial,13,word
2775,protect,13,word
2776,distinguishing,13,word
2777,spot,13,word
2778,killing,13,word
2779,aware,13,word
2780,haven,13,word
2781,rainfall,13,word
2782,guaranteed,13,word
2783,jewish,13,word
2784,valued,13,word
2785,characteriz,13,word
2786,nurture,13,word
2787,electronic,13,word
2788,board,13,word
2789,suitable,13,word
2790,entitlement,13,word
2791,favour,13,word
2792,payroll,13,word
2793,bureaucratic,13,word
2794,nazi,13,word
2795,justify,13,word
2796,japan,13,word
2797,multivariate,13,word
2798,uniquely,13,word
2799,decentralization,13,word
2800,engel,13,word
2801,irrigation,13,word
2802,colleague,13,word
2803,code,13,word
2804,england,13,word
2805,perfectly,13,word
2806,classroom,13,word
2807,discretionary,13,word
2808,counterparty,13,word
2809,propagate,13,word
2810,brownian,13,word
2811,surpluse,13,word
2812,certification,13,word
2813,convenience,13,word
2814,stackelberg,13,word
2815,ukrainian,13,word
2816,veteran,13,word
2817,anonymous,12,word
2818,map,12,word
2819,implementable,12,word
2820,simply,12,word
2821,periphery,12,word
2822,religiosity,12,word
2823,characterizing,12,word
2824,seeding,12,word
2825,posted,12,word
2826,seemingly,12,word
2827,ineffective,12,word
2828,parenting,12,word
2829,focuse,12,word
2830,republican,12,word
2831,deceased,12,word
2832,adopting,12,word
2833,predicting,12,word
2834,alter,12,word
2835,unless,12,word
2836,obligation,12,word
2837,disentangle,12,word
2838,prosociality,12,word
2839,block,12,word
2840,hacking,12,word
2841,decomposing,12,word
2842,mitigation,12,word
2843,creative,12,word
2844,outsourcing,12,word
2845,retain,12,word
2846,fomc,12,word
2847,emphasiz,12,word
2848,phenomena,12,word
2849,verifiable,12,word
2850,younger,12,word
2851,ladder,12,word
2852,denmark,12,word
2853,door,12,word
2854,korea,12,word
2855,friend,12,word
2856,strategically,12,word
2857,irrelevant,12,word
2858,software,12,word
2859,matrice,12,word
2860,transplantation,12,word
2861,kernel,12,word
2862,fourth,12,word
2863,sophistication,12,word
2864,coarse,12,word
2865,nest,12,word
2866,perturbation,12,word
2867,fear,12,word
2868,dependency,12,word
2869,vocational,12,word
2870,requiring,12,word
2871,hank,12,word
2872,repeatedly,12,word
2873,intuitive,12,word
2874,noncognitive,12,word
2875,copyright,12,word
2876,italy,12,word
2877,television,12,word
2878,attractive,12,word
2879,aca,12,word
2880,sustainability,12,word
2881,distributed,12,word
2882,gold,12,word
2883,reorganization,12,word
2884,influential,12,word
2885,stickiness,12,word
2886,multisector,12,word
2887,soft,12,word
2888,ordering,12,word
2889,supervisor,12,word
2890,unexpected,12,word
2891,hyperbolic,12,word
2892,baby,12,word
2893,interpreted,12,word
2894,plausibly,12,word
2895,portion,12,word
2896,perceive,12,word
2897,replacing,12,word
2898,endogeneity,12,word
2899,aggregating,12,word
2900,imperfectly,12,word
2901,needed,12,word
2902,nonemployment,12,word
2903,station,12,word
2904,tighter,12,word
2905,immediately,12,word
2906,honest,12,word
2907,childcare,12,word
2908,adjusting,12,word
2909,variability,12,word
2910,internalize,12,word
2911,triggered,12,word
2912,eligible,12,word
2913,wal,12,word
2914,mart,12,word
2915,constrain,12,word
2916,unsecured,12,word
2917,say,12,word
2918,refund,12,word
2919,truth,12,word
2920,combinatorial,12,word
2921,freedom,12,word
2922,buying,12,word
2923,justified,12,word
2924,oligopolistic,12,word
2925,satisfied,12,word
2926,abuse,12,word
2927,transitional,12,word
2928,unbounded,12,word
2929,shrinkage,12,word
2930,outperform,12,word
2931,intrinsic,12,word
2932,investigation,12,word
2933,spurious,12,word
2934,censorship,12,word
2935,embodied,12,word
2936,classification,12,word
2937,nonprofit,12,word
2938,ignore,12,word
2939,engagement,12,word
2940,disturbance,12,word
2941,bracketing,12,word
2942,augmenting,12,word
2943,connectivity,12,word
2944,neighbour,12,word
2945,running,12,word
2946,preserving,12,word
2947,soldier,12,word
2948,republic,12,word
2949,misinformation,12,word
2950,conservation,12,word
2951,forest,12,word
2952,brain,12,word
2953,influenced,12,word
2954,lakisha,12,word
2955,ambulance,12,word
2956,universalism,12,word
2957,serfdom,12,word
2958,bison,12,word
2959,smoothness,11,word
2960,drawing,11,word
2961,piece,11,word
2962,compromise,11,word
2963,farming,11,word
2964,sent,11,word
2965,rejected,11,word
2966,aimed,11,word
2967,dynamism,11,word
2968,exogenously,11,word
2969,disclose,11,word
2970,enroll,11,word
2971,socio,11,word
2972,collaboration,11,word
2973,iteration,11,word
2974,territory,11,word
2975,acquired,11,word
2976,bear,11,word
2977,aim,11,word
2978,democrat,11,word
2979,insensitive,11,word
2980,preserve,11,word
2981,geographically,11,word
2982,transmitted,11,word
2983,persistently,11,word
2984,depressed,11,word
2985,con,11,word
2986,vast,11,word
2987,essentially,11,word
2988,illiquid,11,word
2989,forecaster,11,word
2990,yielding,11,word
2991,concave,11,word
2992,semi,11,word
2993,transitory,11,word
2994,mammogram,11,word
2995,poorer,11,word
2996,recovered,11,word
2997,indeed,11,word
2998,ate,11,word
2999,entropy,11,word
3000,arm,11,word
3001,permit,11,word
3002,probabilistic,11,word
3003,simulate,11,word
3004,communicate,11,word
3005,analytically,11,word
3006,transparent,11,word
3007,described,11,word
3008,thousand,11,word
3009,martingale,11,word
3010,manage,11,word
3011,waitlist,11,word
3012,forecasting,11,word
3013,transform,11,word
3014,individualism,11,word
3015,strengthen,11,word
3016,bring,11,word
3017,aftermarket,11,word
3018,resale,11,word
3019,elicited,11,word
3020,win,11,word
3021,differentially,11,word
3022,trace,11,word
3023,specified,11,word
3024,favorable,11,word
3025,predetermined,11,word
3026,estimand,11,word
3027,coincide,11,word
3028,axiomatic,11,word
3029,herding,11,word
3030,spreading,11,word
3031,independently,11,word
3032,prize,11,word
3033,counterpart,11,word
3034,nontradable,11,word
3035,procyclical,11,word
3036,spectrum,11,word
3037,affiliated,11,word
3038,invariance,11,word
3039,begin,11,word
3040,theoretic,11,word
3041,inelastic,11,word
3042,love,11,word
3043,lowest,11,word
3044,imprisonment,11,word
3045,postwar,11,word
3046,prompt,11,word
3047,opposed,11,word
3048,lying,11,word
3049,division,11,word
3050,reproduce,11,word
3051,attrition,11,word
3052,negotiated,11,word
3053,clearing,11,word
3054,unclear,11,word
3055,shortage,11,word
3056,macroeconomy,11,word
3057,randomize,11,word
3058,sourcing,11,word
3059,split,11,word
3060,invention,11,word
3061,exclusively,11,word
3062,front,11,word
3063,bandwidth,11,word
3064,vulnerable,11,word
3065,facilitating,11,word
3066,arrest,11,word
3067,vaccine,11,word
3068,infection,11,word
3069,notch,11,word
3070,taxing,11,word
3071,inter,11,word
3072,injection,11,word
3073,exporting,11,word
3074,alternating,11,word
3075,tolerance,11,word
3076,employing,11,word
3077,swap,11,word
3078,dice,11,word
3079,biological,11,word
3080,subsequently,11,word
3081,ordinal,11,word
3082,pooling,11,word
3083,appointment,11,word
3084,subsidizing,11,word
3085,unilateral,11,word
3086,considerably,11,word
3087,anchoring,11,word
3088,smoking,11,word
3089,switzerland,11,word
3090,geographical,11,word
3091,prenatal,11,word
3092,digitized,11,word
3093,align,11,word
3094,additive,11,word
3095,oligopsony,11,word
3096,correlate,11,word
3097,falsification,11,word
3098,spectral,11,word
3099,usage,11,word
3100,hysteresis,11,word
3101,registry,11,word
3102,liquidation,11,word
3103,privilege,11,word
3104,believed,11,word
3105,deter,11,word
3106,membership,11,word
3107,defendant,11,word
3108,pessimism,11,word
3109,programme,11,word
3110,markdown,11,word
3111,uber,11,word
3112,lemon,11,word
3113,shooting,11,word
3114,detention,11,word
3115,vulnerability,11,word
3116,observability,11,word
3117,smallest,11,word
3118,japanese,11,word
3119,storage,11,word
3120,pain,11,word
3121,overdose,11,word
3122,oxycontin,11,word
3123,lunch,11,word
3124,roman,11,word
3125,ukraine,11,word
3126,britain,11,word
3127,discourse,11,word
3128,necessity,11,word
3129,hinterland,11,word
3130,lyft,11,word
3131,undermining,11,word
3132,libor,11,word
3133,shop,11,word
3134,suppression,10,word
3135,taylor,10,word
3136,sustain,10,word
3137,modified,10,word
3138,slowly,10,word
3139,acquiring,10,word
3140,doubling,10,word
3141,remarkably,10,word
3142,sure,10,word
3143,reliance,10,word
3144,satellite,10,word
3145,push,10,word
3146,rollover,10,word
3147,word,10,word
3148,ordered,10,word
3149,victim,10,word
3150,eight,10,word
3151,interested,10,word
3152,stimulation,10,word
3153,ongoing,10,word
3154,nearby,10,word
3155,supplemental,10,word
3156,precisely,10,word
3157,unbiased,10,word
3158,inclusion,10,word
3159,specificity,10,word
3160,english,10,word
3161,govern,10,word
3162,intense,10,word
3163,breast,10,word
3164,lean,10,word
3165,localized,10,word
3166,hourly,10,word
3167,individually,10,word
3168,assessing,10,word
3169,unconditional,10,word
3170,undermine,10,word
3171,presented,10,word
3172,implementing,10,word
3173,subnetwork,10,word
3174,combat,10,word
3175,slack,10,word
3176,theta,10,word
3177,serving,10,word
3178,reflected,10,word
3179,setup,10,word
3180,uniqueness,10,word
3181,divide,10,word
3182,flexibly,10,word
3183,attenuate,10,word
3184,canal,10,word
3185,entering,10,word
3186,consist,10,word
3187,phone,10,word
3188,subsistence,10,word
3189,regulated,10,word
3190,certainty,10,word
3191,generaliz,10,word
3192,proximity,10,word
3193,topology,10,word
3194,seem,10,word
3195,mexican,10,word
3196,uganda,10,word
3197,entrant,10,word
3198,partisanship,10,word
3199,bill,10,word
3200,countercyclical,10,word
3201,reallocating,10,word
3202,purpose,10,word
3203,clock,10,word
3204,applicable,10,word
3205,spike,10,word
3206,clientelism,10,word
3207,sierra,10,word
3208,leone,10,word
3209,microeconomic,10,word
3210,dyadic,10,word
3211,gradient,10,word
3212,pilot,10,word
3213,searching,10,word
3214,highway,10,word
3215,holdup,10,word
3216,backlash,10,word
3217,generalize,10,word
3218,outweigh,10,word
3219,merit,10,word
3220,warning,10,word
3221,indicator,10,word
3222,contributing,10,word
3223,amplified,10,word
3224,survivor,10,word
3225,billing,10,word
3226,competitiveness,10,word
3227,contamination,10,word
3228,squared,10,word
3229,grading,10,word
3230,gasoline,10,word
3231,integrate,10,word
3232,integrating,10,word
3233,loop,10,word
3234,inclusive,10,word
3235,preexisting,10,word
3236,experiencing,10,word
3237,church,10,word
3238,correspond,10,word
3239,expertise,10,word
3240,randomizing,10,word
3241,stone,10,word
3242,ltv,10,word
3243,chronic,10,word
3244,otc,10,word
3245,occasionally,10,word
3246,imprecise,10,word
3247,deterministic,10,word
3248,reaching,10,word
3249,mediated,10,word
3250,dutch,10,word
3251,attain,10,word
3252,topic,10,word
3253,literacy,10,word
3254,tradition,10,word
3255,veto,10,word
3256,proposer,10,word
3257,slowdown,10,word
3258,swiss,10,word
3259,invoicing,10,word
3260,pessimistic,10,word
3261,perpetrator,10,word
3262,bertrand,10,word
3263,strengthening,10,word
3264,vice,10,word
3265,versa,10,word
3266,expanded,10,word
3267,prudential,10,word
3268,entail,10,word
3269,organ,10,word
3270,addressing,10,word
3271,hump,10,word
3272,unaffected,10,word
3273,euro,10,word
3274,tradeoff,10,word
3275,bitcoin,10,word
3276,soil,10,word
3277,tight,10,word
3278,ignoring,10,word
3279,nonfinancial,10,word
3280,chief,10,word
3281,causing,10,word
3282,termination,10,word
3283,disappear,10,word
3284,allowance,10,word
3285,onto,10,word
3286,waste,10,word
3287,arsenic,10,word
3288,dementia,10,word
3289,gradualism,10,word
3290,festival,10,word
3291,motion,10,word
3292,broker,10,word
3293,rollout,10,word
3294,salvador,10,word
3295,wetland,10,word
3296,behave,10,word
3297,inform,10,word
3298,subgroup,10,word
3299,fallacy,10,word
3300,loser,10,word
3301,payday,10,word
3302,benchmarking,10,word
3303,graphon,10,word
3304,noncompete,10,word
3305,walrasian,10,word
3306,maltreatment,10,word
3307,repo,10,word
3308,specialty,10,word
3309,restorative,10,word
3310,reproductive,10,word
3311,pastoralism,10,word
